Customer Number,Customer Identifier,Customer Details,Market Segment Code,Phone Number,Account Balance,Market Segment,Comment
1,Customer#000000001,Details for Customer 1,19,69-973-344-3231,1977.35,BUILDING,Excellent customer service experience 1
2,Customer#000000002,Details for Customer 2,11,81-696-495-5294,560.53,ELECTRONICS,Excellent customer service experience 2
3,Customer#000000003,Details for Customer 3,12,12-267-669-7394,1477.74,AUTOMOBILE,Excellent customer service experience 3
4,Customer#000000004,Details for Customer 4,18,37-515-240-4904,1835.23,BUILDING,Excellent customer service experience 4
5,Customer#000000005,Details for Customer 5,11,33-745-795-9384,1301.85,FURNITURE,Excellent customer service experience 5
6,Customer#000000006,Details for Customer 6,17,45-483-110-3367,1275.62,AUTOMOBILE,Excellent customer service experience 6
7,Customer#000000007,Details for Customer 7,18,91-916-310-5212,1586.11,AUTOMOBILE,Excellent customer service experience 7
8,Customer#000000008,Details for Customer 8,12,57-238-247-8909,1737.78,AUTOMOBILE,Excellent customer service experience 8
9,Customer#000000009,Details for Customer 9,19,87-285-648-6635,1884.04,BUILDING,Excellent customer service experience 9
10,Customer#000000010,Details for Customer 10,16,45-858-942-8752,648.61,BUILDING,Excellent customer service experience 10
11,Customer#000000011,Details for Customer 11,15,18-565-480-8877,1653.04,ELECTRONICS,Excellent customer service experience 11
12,Customer#000000012,Details for Customer 12,11,69-820-541-8540,1086.35,ELECTRONICS,Excellent customer service experience 12
13,Customer#000000013,Details for Customer 13,19,96-839-662-5963,590.87,AUTOMOBILE,Excellent customer service experience 13
14,Customer#000000014,Details for Customer 14,16,90-217-511-2327,1555.36,BUILDING,Excellent customer service experience 14
15,Customer#000000015,Details for Customer 15,19,76-111-182-5312,644.53,ELECTRONICS,Excellent customer service experience 15
16,Customer#000000016,Details for Customer 16,12,34-228-721-8612,1707.68,ELECTRONICS,Excellent customer service experience 16
17,Customer#000000017,Details for Customer 17,15,82-187-613-1349,808.59,ELECTRONICS,Excellent customer service experience 17
18,Customer#000000018,Details for Customer 18,16,57-714-330-2260,672.51,FURNITURE,Excellent customer service experience 18
19,Customer#000000019,Details for Customer 19,11,60-311-225-9699,1499.72,AUTOMOBILE,Excellent customer service experience 19
20,Customer#000000020,Details for Customer 20,15,95-646-581-8039,1810.34,AUTOMOBILE,Excellent customer service experience 20
21,Customer#000000021,Details for Customer 21,18,59-608-311-3867,1552.58,BUILDING,Excellent customer service experience 21
22,Customer#000000022,Details for Customer 22,14,43-953-232-7387,1140.42,BUILDING,Excellent customer service experience 22
23,Customer#000000023,Details for Customer 23,16,81-540-738-3611,1500.24,FURNITURE,Excellent customer service experience 23
24,Customer#000000024,Details for Customer 24,15,71-801-467-9898,907.3,AUTOMOBILE,Excellent customer service experience 24
25,Customer#000000025,Details for Customer 25,16,67-253-856-7009,1726.48,FURNITURE,Excellent customer service experience 25
26,Customer#000000026,Details for Customer 26,10,15-775-322-6364,527.66,ELECTRONICS,Excellent customer service experience 26
27,Customer#000000027,Details for Customer 27,12,62-749-149-5083,1451.22,FURNITURE,Excellent customer service experience 27
28,Customer#000000028,Details for Customer 28,15,91-284-257-3251,1482.14,AUTOMOBILE,Excellent customer service experience 28
29,Customer#000000029,Details for Customer 29,16,71-518-348-8034,1895.87,FURNITURE,Excellent customer service experience 29
30,Customer#000000030,Details for Customer 30,12,53-901-990-6630,1276.48,ELECTRONICS,Excellent customer service experience 30
31,Customer#000000031,Details for Customer 31,19,38-634-189-6153,1570.79,AUTOMOBILE,Excellent customer service experience 31
32,Customer#000000032,Details for Customer 32,11,99-568-479-3240,1792.85,BUILDING,Excellent customer service experience 32
33,Customer#000000033,Details for Customer 33,14,22-341-427-2574,931.0,AUTOMOBILE,Excellent customer service experience 33
34,Customer#000000034,Details for Customer 34,18,12-685-290-4738,1483.67,ELECTRONICS,Excellent customer service experience 34
35,Customer#000000035,Details for Customer 35,18,22-587-853-3234,1632.03,BUILDING,Excellent customer service experience 35
36,Customer#000000036,Details for Customer 36,13,48-859-426-9258,798.31,ELECTRONICS,Excellent customer service experience 36
37,Customer#000000037,Details for Customer 37,17,59-561-348-8859,1765.39,BUILDING,Excellent customer service experience 37
38,Customer#000000038,Details for Customer 38,12,90-899-748-1871,1361.18,BUILDING,Excellent customer service experience 38
39,Customer#000000039,Details for Customer 39,19,41-118-960-5537,1340.99,FURNITURE,Excellent customer service experience 39
40,Customer#000000040,Details for Customer 40,11,40-505-984-7987,1036.62,FURNITURE,Excellent customer service experience 40
41,Customer#000000041,Details for Customer 41,11,45-737-282-7872,643.04,BUILDING,Excellent customer service experience 41
42,Customer#000000042,Details for Customer 42,11,56-708-268-5420,1538.24,ELECTRONICS,Excellent customer service experience 42
43,Customer#000000043,Details for Customer 43,16,39-151-154-9248,1056.91,ELECTRONICS,Excellent customer service experience 43
44,Customer#000000044,Details for Customer 44,13,92-664-201-4559,1284.85,ELECTRONICS,Excellent customer service experience 44
45,Customer#000000045,Details for Customer 45,16,76-983-645-6081,1972.13,FURNITURE,Excellent customer service experience 45
46,Customer#000000046,Details for Customer 46,15,37-977-570-2834,917.47,FURNITURE,Excellent customer service experience 46
47,Customer#000000047,Details for Customer 47,14,16-705-132-2674,698.54,AUTOMOBILE,Excellent customer service experience 47
48,Customer#000000048,Details for Customer 48,12,19-421-932-1515,709.37,AUTOMOBILE,Excellent customer service experience 48
49,Customer#000000049,Details for Customer 49,17,35-289-716-9908,1060.53,BUILDING,Excellent customer service experience 49
50,Customer#000000050,Details for Customer 50,18,77-838-319-3824,1878.15,AUTOMOBILE,Excellent customer service experience 50
51,Customer#000000051,Details for Customer 51,18,39-660-288-7509,1020.87,ELECTRONICS,Excellent customer service experience 51
52,Customer#000000052,Details for Customer 52,10,87-768-180-5184,571.85,BUILDING,Excellent customer service experience 52
53,Customer#000000053,Details for Customer 53,17,55-490-374-3568,1553.75,FURNITURE,Excellent customer service experience 53
54,Customer#000000054,Details for Customer 54,18,88-246-589-9891,1599.59,FURNITURE,Excellent customer service experience 54
55,Customer#000000055,Details for Customer 55,18,49-764-621-9447,1698.49,BUILDING,Excellent customer service experience 55
56,Customer#000000056,Details for Customer 56,17,59-453-662-5824,1273.24,FURNITURE,Excellent customer service experience 56
57,Customer#000000057,Details for Customer 57,14,25-338-267-1401,1360.83,ELECTRONICS,Excellent customer service experience 57
58,Customer#000000058,Details for Customer 58,16,18-211-549-7791,1325.59,AUTOMOBILE,Excellent customer service experience 58
59,Customer#000000059,Details for Customer 59,19,30-780-172-5994,1169.82,ELECTRONICS,Excellent customer service experience 59
60,Customer#000000060,Details for Customer 60,16,42-570-480-5618,1323.42,AUTOMOBILE,Excellent customer service experience 60
61,Customer#000000061,Details for Customer 61,18,18-121-731-3245,1420.89,BUILDING,Excellent customer service experience 61
62,Customer#000000062,Details for Customer 62,13,37-318-496-2632,517.47,ELECTRONICS,Excellent customer service experience 62
63,Customer#000000063,Details for Customer 63,17,50-120-882-4608,1977.25,ELECTRONICS,Excellent customer service experience 63
64,Customer#000000064,Details for Customer 64,18,77-388-429-4484,1144.71,AUTOMOBILE,Excellent customer service experience 64
65,Customer#000000065,Details for Customer 65,14,13-563-324-6542,1400.45,AUTOMOBILE,Excellent customer service experience 65
66,Customer#000000066,Details for Customer 66,12,79-101-245-7334,779.47,FURNITURE,Excellent customer service experience 66
67,Customer#000000067,Details for Customer 67,13,57-364-429-1436,1610.81,ELECTRONICS,Excellent customer service experience 67
68,Customer#000000068,Details for Customer 68,10,23-980-653-3072,1103.46,ELECTRONICS,Excellent customer service experience 68
69,Customer#000000069,Details for Customer 69,14,73-171-169-8783,1085.63,ELECTRONICS,Excellent customer service experience 69
70,Customer#000000070,Details for Customer 70,18,30-935-549-8369,1447.18,ELECTRONICS,Excellent customer service experience 70
71,Customer#000000071,Details for Customer 71,10,75-268-468-5454,542.27,BUILDING,Excellent customer service experience 71
72,Customer#000000072,Details for Customer 72,14,56-505-432-5522,883.77,BUILDING,Excellent customer service experience 72
73,Customer#000000073,Details for Customer 73,12,94-816-442-4092,1832.78,FURNITURE,Excellent customer service experience 73
74,Customer#000000074,Details for Customer 74,16,43-877-287-9804,1607.15,BUILDING,Excellent customer service experience 74
75,Customer#000000075,Details for Customer 75,12,13-845-675-7206,1508.01,FURNITURE,Excellent customer service experience 75
76,Customer#000000076,Details for Customer 76,12,18-384-343-8181,1144.96,ELECTRONICS,Excellent customer service experience 76
77,Customer#000000077,Details for Customer 77,12,97-939-482-6631,924.69,BUILDING,Excellent customer service experience 77
78,Customer#000000078,Details for Customer 78,17,22-998-840-9301,1729.6,BUILDING,Excellent customer service experience 78
79,Customer#000000079,Details for Customer 79,19,87-379-994-2273,1538.14,BUILDING,Excellent customer service experience 79
80,Customer#000000080,Details for Customer 80,16,83-331-994-2871,1415.66,ELECTRONICS,Excellent customer service experience 80
81,Customer#000000081,Details for Customer 81,19,21-109-930-1218,514.56,ELECTRONICS,Excellent customer service experience 81
82,Customer#000000082,Details for Customer 82,16,21-963-916-8482,809.04,FURNITURE,Excellent customer service experience 82
